device id,gender,age,latitude,longitude
-9222956879900151005,M,M39+,23.19,113.24
-9221026417907250887,F,F29-32,30.87,114.36
-9220061629197656378,M,M39+,46.6,124.9
-9218769147970107256,M,M32-38,28.6,112.33
-9215352913819638805,M,M23-26,22.66,114.02
-9212424538588397592,F,F24-26,22.95,113.47
-9206202041936929793,M,M22-,34.7,113.71
-9205645091197548271,M,M29-31,22.73,113.8
-9205293319808660496,M,M39+,31.32,118.88
-9201141107731295908,F,F27-28,39.87,116.3
-9200975789875358770,M,M32-38,21.87,112.0
-9195568263718055018,M,M23-26,37.45,121.42
-9192503757087427819,M,M39+,25.66,118.87
-9190825597212946223,M,M23-26,22.56,113.96
-9185683155567867976,F,F33-42,39.11,117.22
-9182270938122267037,M,M23-26,27.2,111.44
-9182040156710847707,M,M29-31,25.56,102.47
-9181603575279521900,M,M23-26,38.8,115.68
-9177461074950576614,M,M32-38,23.68,113.03
-9174409012143247712,F,F23-,32.93,119.84
-9174142387982011518,F,F29-32,39.98,117.08
-9173774246501780929,F,F29-32,30.0,104.0
-9171984829241460911,M,M27-28,31.15,104.36
-9171692083851604107,M,M32-38,30.0,104.0
-9170269697234054624,M,M23-26,31.25,121.45
-9167960113940184827,M,M32-38,34.91,114.95
-9167060588995723650,M,M23-26,28.61,115.47
-9162848328412258499,M,M23-26,39.87,116.45
-9161106488982207681,M,M32-38,35.43,116.59
-9160772583967929589,M,M32-38,21.27,110.33
-9159362333654849758,M,M23-26,30.31,103.43
-9158393146383062039,M,M32-38,37.85,113.58
-9156769850272239256,M,M29-31,22.63,113.84
-9155576106019233985,M,M32-38,32.66,110.76
-9153933338384923161,M,M27-28,30.67,120.49
-9151932079029728088,M,M22-,30.58,104.21
-9150780438608446728,F,F33-42,29.63,106.56
-9150025819192447963,F,F24-26,38.85,117.46
-9149005536079835617,M,M23-26,26.64,118.18
-9148504360104384619,F,F29-32,39.76,98.3
-9146895209498043819,M,M27-28,35.37,119.52
-9146464840760395156,M,M27-28,31.21,120.48
-9142943697566922084,M,M32-38,31.56,118.49
-9142376725008534333,M,M39+,39.63,115.88
-9139757358587513392,M,M32-38,28.63,115.86
-9139549651607370599,F,F33-42,28.06,115.54
-9139512098545222229,M,M32-38,28.33,106.19
-9137123892151396745,M,M39+,32.1,112.17
-9135437265387254674,F,F24-26,31.72,118.84
-9134556132023507861,F,F24-26,23.6,113.81
-9133255755135006117,M,M32-38,23.08,113.72
-9132600467596064152,M,M22-,22.54,114.08
-9128599196840350856,M,M32-38,31.41,120.95
-9127983430276123114,M,M29-31,26.05,119.25
-9124308220957381253,M,M32-38,33.72,113.3
-9122745692722607839,M,M32-38,31.77,119.93
-9118887241036607293,M,M32-38,34.29,108.92
-9118749350345620696,M,M32-38,31.7,118.53
-9111100911241120008,M,M29-31,43.86,87.57
